TIME,PowerConsumption(inkW),Power(inKwh),Power_final
00:00:00,46,0.766666667,3.833333335
00:00:00,46,0.766666667,3.833333335
00:00:00,46,0.766666667,3.833333335
00:00:00,46,0.766666667,3.833333335
00:00:00,46,0.766666667,3.833333335
00:00:00,46,0.766666667,3.833333335
00:00:00,46,0.766666667,3.833333335
00:00:00,46,0.766666667,3.833333335
00:00:00,46,0.766666667,3.833333335
00:00:00,46,0.766666667,3.833333335
00:00:00,46,0.766666667,3.833333335
00:00:00,58,0.966666667,4.833333335
00:00:00,39,0.65,3.25
00:00:00,37,0.616666667,3.083333335
00:00:00,52,0.866666667,4.333333335
00:00:00,41,0.683333333,3.416666665
00:00:00,33,0.55,2.75
00:00:00,54,0.9,4.5
00:00:00,44,0.733333333,3.666666665
00:00:00,59,0.983333333,4.916666665
00:00:00,42,0.7,3.5
00:00:00,51,0.85,4.25
00:00:00,41,0.683333333,3.416666665
00:00:00,35,0.583333333,2.916666665
00:00:00,43,0.716666667,3.583333335
00:00:00,35,0.583333333,2.916666665
00:00:00,36,0.6,3
00:00:00,53,0.883333333,4.416666665
00:00:00,43,0.716666667,3.583333335
00:00:00,58,0.966666667,4.833333335
00:00:00,37,0.616666667,3.083333335
00:00:00,58,0.966666667,4.833333335
00:00:00,57,0.95,4.75
00:00:00,49,0.816666667,4.083333335
00:00:00,38,0.633333333,3.166666665
00:00:00,47,0.783333333,3.916666665
00:00:00,35,0.583333333,2.916666665
00:00:00,35,0.583333333,2.916666665
00:00:00,44,0.733333333,3.666666665
00:00:00,44,0.733333333,3.666666665
00:00:00,39,0.65,3.25
00:00:00,44,0.733333333,3.666666665
00:00:00,43,0.716666667,3.583333335
00:00:00,57,0.95,4.75
00:00:00,43,0.716666667,3.583333335
00:00:00,40,0.666666667,3.333333335
00:00:00,33,0.55,2.75
00:00:00,37,0.616666667,3.083333335
00:00:00,33,0.55,2.75
00:00:00,37,0.616666667,3.083333335
00:00:00,57,0.95,4.75
00:00:00,46,0.766666667,3.833333335
00:00:00,53,0.883333333,4.416666665
00:00:00,56,0.933333333,4.666666665
00:00:00,51,0.85,4.25
00:00:00,44,0.733333333,3.666666665
00:00:00,57,0.95,4.75
00:00:00,40,0.666666667,3.333333335
00:00:00,42,0.7,3.5
00:00:00,39,0.65,3.25
00:01:00,46,0.766666667,3.833333335
00:01:00,41,0.683333333,3.416666665
00:01:00,50,0.833333333,4.166666665
00:01:00,31,0.516666667,2.583333335
00:01:00,42,0.7,3.5
00:01:00,48,0.8,4
00:01:00,49,0.816666667,4.083333335
00:01:00,47,0.783333333,3.916666665
00:01:00,42,0.7,3.5
00:01:00,42,0.7,3.5
00:01:00,49,0.816666667,4.083333335
00:01:00,35,0.583333333,2.916666665
00:01:00,40,0.666666667,3.333333335
00:01:00,31,0.516666667,2.583333335
00:01:00,39,0.65,3.25
00:01:00,42,0.7,3.5
00:01:00,35,0.583333333,2.916666665
00:01:00,35,0.583333333,2.916666665
00:01:00,42,0.7,3.5
00:01:00,32,0.533333333,2.666666665
00:01:00,46,0.766666667,3.833333335
00:01:00,53,0.883333333,4.416666665
00:01:00,55,0.916666667,4.583333335
00:01:00,50,0.833333333,4.166666665
00:01:00,51,0.85,4.25
00:01:00,56,0.933333333,4.666666665
00:01:00,31,0.516666667,2.583333335
00:01:00,43,0.716666667,3.583333335
00:01:00,50,0.833333333,4.166666665
00:01:00,36,0.6,3
00:01:00,57,0.95,4.75
00:01:00,55,0.916666667,4.583333335
00:01:00,31,0.516666667,2.583333335
00:01:00,38,0.633333333,3.166666665
00:01:00,43,0.716666667,3.583333335
00:01:00,176,2.933333333,14.66666667
00:01:00,177,2.95,14.75
00:01:00,190,3.166666667,15.83333334
00:01:00,185,3.083333333,15.41666667
00:01:00,165,2.75,13.75
00:01:00,181,3.016666667,15.08333334
00:01:00,176,2.933333333,14.66666667
00:01:00,60,1,5
00:01:00,55,0.916666667,4.583333335
00:01:00,60,1,5
00:01:00,60,1,5
00:01:00,31,0.516666667,2.583333335
00:01:00,38,0.633333333,3.166666665
00:01:00,51,0.85,4.25
00:01:00,43,0.716666667,3.583333335
00:01:00,32,0.533333333,2.666666665
00:01:00,55,0.916666667,4.583333335
00:01:00,46,0.766666667,3.833333335
00:01:00,32,0.533333333,2.666666665
00:01:00,47,0.783333333,3.916666665
00:01:00,39,0.65,3.25
00:01:00,56,0.933333333,4.666666665
00:01:00,45,0.75,3.75
00:01:00,52,0.866666667,4.333333335
00:01:00,44,0.733333333,3.666666665
00:02:00,38,0.633333333,3.166666665
00:02:00,41,0.683333333,3.416666665
00:02:00,58,0.966666667,4.833333335
00:02:00,56,0.933333333,4.666666665
00:02:00,47,0.783333333,3.916666665
00:02:00,52,0.866666667,4.333333335
00:02:00,34,0.566666667,2.833333335
00:02:00,57,0.95,4.75
00:02:00,57,0.95,4.75
00:02:00,53,0.883333333,4.416666665
00:02:00,42,0.7,3.5
00:02:00,50,0.833333333,4.166666665
00:02:00,52,0.866666667,4.333333335
00:02:00,56,0.933333333,4.666666665
00:02:00,51,0.85,4.25
00:02:00,59,0.983333333,4.916666665
00:02:00,39,0.65,3.25
00:02:00,39,0.65,3.25
00:02:00,39,0.65,3.25
00:02:00,46,0.766666667,3.833333335
00:02:00,55,0.916666667,4.583333335
00:02:00,45,0.75,3.75
00:02:00,32,0.533333333,2.666666665
00:02:00,54,0.9,4.5
00:02:00,54,0.9,4.5
00:02:00,44,0.733333333,3.666666665
00:02:00,51,0.85,4.25
00:02:00,60,1,5
00:02:00,44,0.733333333,3.666666665
00:02:00,34,0.566666667,2.833333335
00:02:00,47,0.783333333,3.916666665
00:02:00,44,0.733333333,3.666666665
00:02:00,38,0.633333333,3.166666665
00:02:00,48,0.8,4
00:02:00,56,0.933333333,4.666666665
00:02:00,51,0.85,4.25
00:02:00,40,0.666666667,3.333333335
00:02:00,48,0.8,4
00:02:00,54,0.9,4.5
00:02:00,47,0.783333333,3.916666665
00:02:00,50,0.833333333,4.166666665
00:02:00,35,0.583333333,2.916666665
00:02:00,45,0.75,3.75
00:02:00,60,1,5
00:02:00,58,0.966666667,4.833333335
00:02:00,57,0.95,4.75
00:02:00,47,0.783333333,3.916666665
00:02:00,31,0.516666667,2.583333335
00:02:00,50,0.833333333,4.166666665
00:02:00,35,0.583333333,2.916666665
00:02:00,56,0.933333333,4.666666665
00:02:00,38,0.633333333,3.166666665
00:02:00,41,0.683333333,3.416666665
00:02:00,45,0.75,3.75
00:02:00,52,0.866666667,4.333333335
00:02:00,52,0.866666667,4.333333335
00:02:00,50,0.833333333,4.166666665
00:02:00,34,0.566666667,2.833333335
00:02:00,33,0.55,2.75
00:02:00,44,0.733333333,3.666666665
00:03:00,56,0.933333333,4.666666665
00:03:00,56,0.933333333,4.666666665
00:03:00,47,0.783333333,3.916666665
00:03:00,51,0.85,4.25
00:03:00,43,0.716666667,3.583333335
00:03:00,52,0.866666667,4.333333335
00:03:00,39,0.65,3.25
00:03:00,53,0.883333333,4.416666665
00:03:00,58,0.966666667,4.833333335
00:03:00,46,0.766666667,3.833333335
00:03:00,35,0.583333333,2.916666665
00:03:00,53,0.883333333,4.416666665
00:03:00,51,0.85,4.25
00:03:00,48,0.8,4
00:03:00,47,0.783333333,3.916666665
00:03:00,43,0.716666667,3.583333335
00:03:00,44,0.733333333,3.666666665
00:03:00,35,0.583333333,2.916666665
00:03:00,54,0.9,4.5
00:03:00,35,0.583333333,2.916666665
00:03:00,52,0.866666667,4.333333335
00:03:00,52,0.866666667,4.333333335
00:03:00,45,0.75,3.75
00:03:00,49,0.816666667,4.083333335
00:03:00,38,0.633333333,3.166666665
00:03:00,34,0.566666667,2.833333335
00:03:00,57,0.95,4.75
00:03:00,41,0.683333333,3.416666665
00:03:00,60,1,5
00:03:00,46,0.766666667,3.833333335
00:03:00,37,0.616666667,3.083333335
00:03:00,38,0.633333333,3.166666665
00:03:00,35,0.583333333,2.916666665
00:03:00,58,0.966666667,4.833333335
00:03:00,52,0.866666667,4.333333335
00:03:00,33,0.55,2.75
00:03:00,59,0.983333333,4.916666665
00:03:00,33,0.55,2.75
00:03:00,57,0.95,4.75
00:03:00,34,0.566666667,2.833333335
00:03:00,40,0.666666667,3.333333335
00:03:00,35,0.583333333,2.916666665
00:03:00,44,0.733333333,3.666666665
00:03:00,48,0.8,4
00:03:00,51,0.85,4.25
00:03:00,53,0.883333333,4.416666665
00:03:00,35,0.583333333,2.916666665
00:03:00,50,0.833333333,4.166666665
00:03:00,48,0.8,4
00:03:00,37,0.616666667,3.083333335
00:03:00,35,0.583333333,2.916666665
00:03:00,60,1,5
00:03:00,37,0.616666667,3.083333335
00:03:00,58,0.966666667,4.833333335
00:03:00,33,0.55,2.75
00:03:00,59,0.983333333,4.916666665
00:03:00,40,0.666666667,3.333333335
00:03:00,40,0.666666667,3.333333335
00:03:00,37,0.616666667,3.083333335
00:03:00,58,0.966666667,4.833333335
00:04:00,44,0.733333333,3.666666665
00:04:00,36,0.6,3
00:04:00,46,0.766666667,3.833333335
00:04:00,56,0.933333333,4.666666665
00:04:00,34,0.566666667,2.833333335
00:04:00,37,0.616666667,3.083333335
00:04:00,40,0.666666667,3.333333335
00:04:00,52,0.866666667,4.333333335
00:04:00,35,0.583333333,2.916666665
00:04:00,31,0.516666667,2.583333335
00:04:00,58,0.966666667,4.833333335
00:04:00,48,0.8,4
00:04:00,34,0.566666667,2.833333335
00:04:00,46,0.766666667,3.833333335
00:04:00,40,0.666666667,3.333333335
00:04:00,36,0.6,3
00:04:00,42,0.7,3.5
00:04:00,32,0.533333333,2.666666665
00:04:00,31,0.516666667,2.583333335
00:04:00,47,0.783333333,3.916666665
00:04:00,36,0.6,3
00:04:00,56,0.933333333,4.666666665
00:04:00,33,0.55,2.75
00:04:00,49,0.816666667,4.083333335
00:04:00,37,0.616666667,3.083333335
00:04:00,49,0.816666667,4.083333335
00:04:00,32,0.533333333,2.666666665
00:04:00,44,0.733333333,3.666666665
00:04:00,31,0.516666667,2.583333335
00:04:00,41,0.683333333,3.416666665
00:04:00,49,0.816666667,4.083333335
00:04:00,35,0.583333333,2.916666665
00:04:00,32,0.533333333,2.666666665
00:04:00,50,0.833333333,4.166666665
00:04:00,35,0.583333333,2.916666665
00:04:00,33,0.55,2.75
00:04:00,43,0.716666667,3.583333335
00:04:00,42,0.7,3.5
00:04:00,34,0.566666667,2.833333335
00:04:00,42,0.7,3.5
00:04:00,39,0.65,3.25
00:04:00,48,0.8,4
00:04:00,42,0.7,3.5
00:04:00,49,0.816666667,4.083333335
00:04:00,31,0.516666667,2.583333335
00:04:00,52,0.866666667,4.333333335
00:04:00,32,0.533333333,2.666666665
00:04:00,41,0.683333333,3.416666665
00:04:00,47,0.783333333,3.916666665
00:04:00,60,1,5
00:04:00,46,0.766666667,3.833333335
00:04:00,37,0.616666667,3.083333335
00:04:00,47,0.783333333,3.916666665
00:04:00,53,0.883333333,4.416666665
00:04:00,39,0.65,3.25
00:04:00,35,0.583333333,2.916666665
00:04:00,50,0.833333333,4.166666665
00:04:00,33,0.55,2.75
00:04:00,33,0.55,2.75
00:04:00,50,0.833333333,4.166666665
00:05:00,53,0.883333333,4.416666665
00:05:00,36,0.6,3
00:05:00,40,0.666666667,3.333333335
00:05:00,41,0.683333333,3.416666665
00:05:00,58,0.966666667,4.833333335
00:05:00,51,0.85,4.25
00:05:00,31,0.516666667,2.583333335
00:05:00,45,0.75,3.75
00:05:00,31,0.516666667,2.583333335
00:05:00,52,0.866666667,4.333333335
00:05:00,36,0.6,3
