"InTemp","InHumid","DoorState","Power","TIME","Temp_outside","Pi_consmp","GES(in KWh)"
"14.1","73"," CLOSED"," ON","    00:00:02","18.89","20.876826722338","0"
"14.1","73.1"," CLOSED"," ON","    00:00:04","18.89","20.876826722338","0"
"14.1","73.1"," CLOSED"," ON","    00:00:07","18.89","20.876826722338","0"
"14.1","72.9"," CLOSED"," ON","    00:00:10","18.89","20.876826722338","0"
"14.1","72.8"," CLOSED"," ON","    00:00:12","18.89","20.876826722338","0"
"14.1","72.9"," CLOSED"," ON","    00:00:15","18.89","20.876826722338","0"
"14.1","73.1"," CLOSED"," ON","    00:00:17","18.89","20.876826722338","0"
"14.1","73"," CLOSED"," ON","    00:00:20","18.89","20.876826722338","0"
"14.1","72.9"," CLOSED"," ON","    00:00:23","18.89","20.876826722338","0"
"14.1","72.9"," CLOSED"," ON","    00:00:25","18.89","20.876826722338","0"
"14.1","72.8"," CLOSED"," ON","    00:00:28","18.89","20.876826722338","0"
"14.1","72.7"," CLOSED"," ON","    00:00:30","18.89","20.876826722338","0"
"14.1","72.5"," CLOSED"," ON","    00:00:33","18.89","20.876826722338","0"
"14.1","72.5"," CLOSED"," ON","    00:00:35","18.89","20.876826722338","0"
"14.1","72.5"," CLOSED"," ON","    00:00:38","18.89","20.876826722338","0"
"14.1","72.5"," CLOSED"," ON","    00:00:41","18.89","20.876826722338","0"
"14.1","72.6"," CLOSED"," ON","    00:00:43","18.89","20.876826722338","0"
"14.1","72.6"," CLOSED"," ON","    00:00:46","18.89","20.876826722338","0"
"14.1","72.5"," CLOSED"," ON","    00:00:48","18.89","20.876826722338","0"
"14.1","72.5"," CLOSED"," ON","    00:00:51","18.89","20.876826722338","0"
"14.1","72.5"," CLOSED"," ON","    00:00:54","18.89","20.876826722338","0"
"14.1","72.4"," CLOSED"," ON","    00:00:56","18.89","20.876826722338","0"
"14","72.3"," CLOSED"," ON","    00:00:59","18.89","20.449897750511","0"
"14.1","72"," CLOSED"," ON","    00:01:01","18.89","20.876826722338","0"
"14.1","71.9"," CLOSED"," ON","    00:01:04","18.89","20.876826722338","0"
"14","71.9"," CLOSED"," ON","    00:01:06","18.89","20.449897750511","0"
"14","71.8"," CLOSED"," ON","    00:01:09","18.89","20.449897750511","0"
"14.1","71.8"," CLOSED"," ON","    00:01:12","18.89","20.876826722338","0"
"14.1","71.7"," CLOSED"," ON","    00:01:14","18.89","20.876826722338","0"
"14.1","71.6"," CLOSED"," ON","    00:01:17","18.89","20.876826722338","0"
"14.1","71.4"," CLOSED"," ON","    00:01:19","18.89","20.876826722338","0"
"14","71.3"," CLOSED"," ON","    00:01:22","18.89","20.449897750511","0"
"14","71.4"," CLOSED"," ON","    00:01:25","18.89","20.449897750511","0"
"14","71.4"," CLOSED"," ON","    00:01:27","18.89","20.449897750511","0"
"14","71.4"," CLOSED"," ON","    00:01:30","18.89","20.449897750511","0"
"14","71.4"," CLOSED"," ON","    00:01:32","18.89","20.449897750511","0"
"14","71.4"," CLOSED"," ON","    00:01:35","18.89","20.449897750511","0"
"14","71.3"," CLOSED"," ON","    00:01:38","18.89","20.449897750511","0"
"14","71.2"," CLOSED"," ON","    00:01:40","18.89","20.449897750511","0"
"14","70.9"," CLOSED"," ON","    00:01:43","18.89","20.449897750511","0"
"14","70.7"," CLOSED"," ON","    00:01:45","18.89","20.449897750511","0"
"14","70.6"," CLOSED"," ON","    00:01:48","18.89","20.449897750511","0"
"14.1","70.5"," CLOSED"," ON","    00:01:50","18.89","20.876826722338","0"
"14","70.4"," CLOSED"," ON","    00:01:53","18.89","20.449897750511","0"
"14","70.4"," CLOSED"," ON","    00:01:56","18.89","20.449897750511","0"
"14","70.3"," CLOSED"," ON","    00:01:58","18.89","20.449897750511","0"
"14","70.1"," CLOSED"," ON","    00:02:01","18.89","20.449897750511","0"
"14","70.3"," CLOSED"," ON","    00:02:03","18.89","20.449897750511","0"
"14","70.1"," CLOSED"," ON","    00:02:06","18.89","20.449897750511","0"
"14","69.9"," CLOSED"," ON","    00:02:09","18.89","20.449897750511","0"
"14","69.8"," CLOSED"," ON","    00:02:11","18.89","20.449897750511","0"
"14","69.9"," CLOSED"," ON","    00:02:14","18.89","20.449897750511","0"
"14","69.9"," CLOSED"," ON","    00:02:16","18.89","20.449897750511","0"
"14","69.8"," CLOSED"," ON","    00:02:19","18.89","20.449897750511","0"
"14","69.8"," CLOSED"," ON","    00:02:21","18.89","20.449897750511","0"
"14","70"," CLOSED"," ON","    00:02:24","18.89","20.449897750511","0"
"14","69.9"," CLOSED"," ON","    00:02:27","18.89","20.449897750511","0"
"14","69.8"," CLOSED"," ON","    00:02:29","18.89","20.449897750511","0"
"14","69.7"," CLOSED"," ON","    00:02:32","18.89","20.449897750511","0"
"14","69.7"," CLOSED"," ON","    00:02:34","18.89","20.449897750511","0"
"14","69.8"," CLOSED"," ON","    00:02:37","18.89","20.449897750511","0"
"14","69.8"," CLOSED"," ON","    00:02:40","18.89","20.449897750511","0"
"14","69.8"," CLOSED"," ON","    00:02:42","18.89","20.449897750511","0"
"14","69.9"," CLOSED"," ON","    00:02:45","18.89","20.449897750511","0"
"14","69.8"," CLOSED"," ON","    00:02:47","18.89","20.449897750511","0"
"14","69.6"," CLOSED"," ON","    00:02:50","18.89","20.449897750511","0"
"14","69.6"," CLOSED"," ON","    00:02:52","18.89","20.449897750511","0"
"14","69.7"," CLOSED"," ON","    00:02:55","18.89","20.449897750511","0"
"13.9","69.6"," CLOSED"," ON","    00:02:58","18.89","20.040080160321","0"
"14","69.6"," CLOSED"," ON","    00:03:00","18.89","20.449897750511","0"
"14","69.6"," CLOSED"," ON","    00:03:03","18.89","20.449897750511","0"
"14","69.5"," CLOSED"," ON","    00:03:05","18.89","20.449897750511","0"
"14","69.4"," CLOSED"," ON","    00:03:08","18.89","20.449897750511","0"
"14","69.4"," CLOSED"," ON","    00:03:11","18.89","20.449897750511","0"
"13.9","69.4"," CLOSED"," ON","    00:03:13","18.89","20.040080160321","0"
