InTemp,InHumid,DoorState,Power,TIME,Temp_outside,Pi_consmp,GES(inKWh),Power_final,Power_Source,Power_Used
14.0,69.6,CLOSED,ON,00:03:00,18.89,8.1799591,0.0,3.825,BES-Limit Alteration,3.825
13.9,68.6,CLOSED,ON,00:04:00,18.89,8.016032064,0.0,3.461111111166667,BES-Limit Alteration,3.461111111166667
13.8,69.8,CLOSED,ON,00:08:00,18.89,7.858546169,0.0,3.8847222225,BES-Limit Alteration,3.8847222225
13.8,70.7,CLOSED,ON,00:09:00,18.89,7.858546169,0.0,3.96666666675,BES-Limit Alteration,3.96666666675
13.8,73.1,CLOSED,ON,00:13:00,18.89,7.858546169,0.0,3.806944444166666,BES-Limit Alteration,3.806944444166666
13.8,74.3,CLOSED,ON,00:17:00,18.89,7.858546169,0.0,3.713888889166667,BES-Limit Alteration,3.713888889166667
13.7,74.0,CLOSED,ON,00:18:00,18.89,7.707129094,0.0,3.84027777775,BES-Limit Alteration,3.84027777775
13.6,68.3,CLOSED,ON,00:22:00,17.78,9.56937799,0.0,3.747222222333333,BES-Limit Alteration,3.747222222333333
13.5,68.1,CLOSED,ON,00:23:00,17.78,9.345794393,0.0,5.03194444475,BES-Limit Alteration,5.03194444475
13.4,71.0,CLOSED,ON,00:27:00,17.78,9.132420091,0.0,3.873611111333333,BES-Limit Alteration,3.873611111333333
13.4,71.8,CLOSED,ON,00:28:00,17.78,9.132420091,0.0,3.9111111114166666,BES-Limit Alteration,3.9111111114166666
13.5,74.0,CLOSED,ON,00:32:00,17.78,9.345794393,0.0,3.6527777779166666,BES-Limit Alteration,3.6527777779166666
13.5,74.4,CLOSED,ON,00:33:00,17.78,9.345794393,0.0,3.67916666675,BES-Limit Alteration,3.67916666675
13.4,74.7,CLOSED,ON,00:37:00,17.78,9.132420091,0.0,3.968055555583333,BES-Limit Alteration,3.968055555583333
13.4,73.2,CLOSED,ON,00:38:00,17.78,9.132420091,0.0,3.7347222221666665,BES-Limit Alteration,3.7347222221666665
13.2,68.7,CLOSED,ON,00:42:00,17.78,8.733624454,0.0,3.677777777666667,BES-Limit Alteration,3.677777777666667
13.3,69.1,CLOSED,ON,00:43:00,17.78,8.928571429,0.0,3.74583333325,BES-Limit Alteration,3.74583333325
13.2,72.2,CLOSED,ON,00:47:00,17.78,8.733624454,0.0,3.681944444333333,BES-Limit Alteration,3.681944444333333
13.2,73.1,CLOSED,ON,00:48:00,17.78,8.733624454,0.0,3.8194444445,BES-Limit Alteration,3.8194444445
13.3,75.6,CLOSED,ON,00:52:00,17.78,8.928571429,0.0,3.8458333335,BES-Limit Alteration,3.8458333335
13.2,75.9,CLOSED,ON,00:53:00,17.78,8.733624454,0.0,3.813888889083333,BES-Limit Alteration,3.813888889083333
13.2,74.4,CLOSED,ON,00:57:00,17.78,8.733624454,0.0,3.6722222225833336,BES-Limit Alteration,3.6722222225833336
13.1,73.6,CLOSED,ON,00:58:00,17.78,8.547008547,0.0,3.8541666665,BES-Limit Alteration,3.8541666665
13.0,69.6,CLOSED,ON,01:02:00,17.78,8.368200837,0.0,3.804166666583333,BES-Limit Alteration,3.804166666583333
13.0,70.2,CLOSED,ON,01:03:00,17.78,8.368200837,0.0,3.726388888833333,BES-Limit Alteration,3.726388888833333
12.9,73.7,CLOSED,ON,01:07:00,17.78,8.196721311,0.0,3.82222222225,BES-Limit Alteration,3.82222222225
13.0,74.5,CLOSED,ON,01:08:00,17.78,8.368200837,0.0,3.647222222583333,BES-Limit Alteration,3.647222222583333
13.0,76.5,CLOSED,ON,01:12:00,17.78,8.368200837,0.0,3.82916666675,BES-Limit Alteration,3.82916666675
13.0,76.7,CLOSED,ON,01:13:00,17.78,8.368200837,0.0,3.76527777775,BES-Limit Alteration,3.76527777775
13.0,76.5,CLOSED,ON,01:17:00,17.78,8.368200837,0.0,3.7666666664166666,BES-Limit Alteration,3.7666666664166666
12.9,70.4,CLOSED,ON,01:21:00,17.78,8.196721311,0.0,3.843055555416667,BES-Limit Alteration,3.843055555416667
12.8,70.4,CLOSED,ON,01:22:00,17.78,8.032128514,0.0,3.888888889083333,BES-Limit Alteration,3.888888889083333
12.8,73.7,CLOSED,ON,01:26:00,17.78,8.032128514,0.0,3.7847222221666654,BES-Limit Alteration,3.7847222221666654
12.8,74.7,CLOSED,ON,01:27:00,17.78,8.032128514,0.0,3.469444444,BES-Limit Alteration,3.469444444
12.9,77.5,CLOSED,ON,01:32:00,17.78,8.196721311,0.0,3.82916666675,BES-Limit Alteration,3.82916666675
12.9,78.0,CLOSED,ON,01:33:00,17.78,8.196721311,0.0,3.7749999999166666,BES-Limit Alteration,3.7749999999166666
12.8,76.1,CLOSED,ON,01:37:00,17.78,8.032128514,0.0,3.8305555555,BES-Limit Alteration,3.8305555555
12.8,74.3,CLOSED,ON,01:38:00,17.78,8.032128514,0.0,3.915277778083333,BES-Limit Alteration,3.915277778083333
12.7,71.5,CLOSED,ON,01:42:00,17.78,7.874015748,0.0,3.886111111,BES-Limit Alteration,3.886111111
12.7,72.4,CLOSED,ON,01:43:00,17.78,7.874015748,0.0,3.709722222333333,Grid-Limit Alteration,3.709722222333333
12.7,75.8,CLOSED,ON,01:47:00,17.78,7.874015748,0.0,3.9958333336666665,Grid-Limit Alteration,3.9958333336666665
12.7,76.6,CLOSED,ON,01:48:00,17.78,7.874015748,0.0,3.7513888889166656,Grid,3.7513888889166656
12.7,78.7,CLOSED,ON,01:53:00,17.22,8.849557522,0.0,3.84583333325,Grid,3.84583333325
12.8,79.1,CLOSED,ON,01:54:00,17.22,9.049773756,0.0,3.691666666666667,Grid,3.691666666666667
12.6,72.8,CLOSED,ON,01:59:00,17.22,8.658008658,0.0,3.772222222333333,Grid,3.772222222333333
12.6,71.8,CLOSED,ON,02:00:00,17.22,8.658008658,0.0,3.8125000001666662,Grid,3.8125000001666662
12.6,71.7,CLOSED,ON,02:01:00,17.22,8.658008658,0.0,3.93749999975,Grid,3.93749999975
12.6,75.3,CLOSED,ON,02:05:00,17.22,8.658008658,0.0,3.72499999975,Grid,3.72499999975
12.6,75.9,CLOSED,ON,02:06:00,17.22,8.658008658,0.0,3.8444444448333335,Grid,3.8444444448333335
12.6,76.8,CLOSED,ON,02:07:00,17.22,8.658008658,0.0,3.8638888886666662,Grid,3.8638888886666662
12.6,79.0,CLOSED,ON,02:11:00,17.22,8.658008658,0.0,3.6027777779166663,Grid,3.6027777779166663
12.6,79.4,CLOSED,ON,02:12:00,17.22,8.658008658,0.0,3.83888888875,Grid,3.83888888875
12.7,79.6,CLOSED,ON,02:13:00,17.22,8.849557522,0.0,3.75416666675,Grid,3.75416666675
12.5,74.1,CLOSED,ON,02:18:00,17.22,8.474576271,0.0,3.7652777778333335,Grid,3.7652777778333335
12.5,72.8,CLOSED,ON,02:19:00,17.22,8.474576271,0.0,3.79722222225,Grid,3.79722222225
12.5,75.9,CLOSED,ON,02:24:00,17.22,8.474576271,0.0,3.7680555553333335,Grid,3.7680555553333335
12.5,76.5,CLOSED,ON,02:25:00,17.22,8.474576271,0.0,3.477777778,Grid,3.477777778
12.4,77.2,CLOSED,ON,02:26:00,17.22,8.298755187,0.0,3.8416666665,Grid,3.8416666665
12.5,79.6,CLOSED,ON,02:30:00,17.22,8.474576271,0.0,3.773611111,Grid,3.773611111
12.5,80.0,CLOSED,ON,02:31:00,17.22,8.474576271,0.0,3.7861111110833336,Grid,3.7861111110833336
12.5,80.3,CLOSED,ON,02:32:00,17.22,8.474576271,0.0,3.7402777779166665,Grid,3.7402777779166665
12.5,77.0,CLOSED,ON,02:36:00,17.22,8.474576271,0.0,3.9152777776666663,Grid,3.9152777776666663
12.5,75.3,CLOSED,ON,02:37:00,17.22,8.474576271,0.0,3.7944444445,Grid,3.7944444445
12.4,73.8,CLOSED,ON,02:38:00,17.22,8.298755187,0.0,3.779166666583333,Grid,3.779166666583333
12.4,76.5,CLOSED,ON,02:43:00,17.22,8.298755187,0.0,3.834722222333333,Grid,3.834722222333333
12.4,77.4,CLOSED,ON,02:44:00,17.22,8.298755187,0.0,3.7305555551666663,Grid,3.7305555551666663
12.5,80.3,CLOSED,ON,02:49:00,17.22,8.474576271,0.0,3.866666666833333,Grid,3.866666666833333
12.4,80.6,CLOSED,ON,02:50:00,17.22,8.298755187,0.0,3.937499999916666,Grid,3.937499999916666
12.5,81.2,CLOSED,ON,02:51:00,17.22,8.474576271,0.0,3.61111111125,Grid,3.61111111125
12.4,76.6,CLOSED,ON,02:56:00,17.22,8.298755187,0.0,3.720833333333333,Grid,3.720833333333333
12.4,75.1,CLOSED,ON,02:57:00,17.22,8.298755187,0.0,3.873611110916667,Grid,3.873611110916667
12.3,76.9,CLOSED,ON,03:02:00,17.22,8.130081301,0.0,3.752777777833333,Grid,3.752777777833333
12.3,77.8,CLOSED,ON,03:03:00,17.22,8.130081301,0.0,3.7083333333333335,Grid,3.7083333333333335
12.3,78.6,CLOSED,ON,03:04:00,17.22,8.130081301,0.0,3.7861111109166665,Grid,3.7861111109166665
12.4,81.4,CLOSED,ON,03:09:00,17.22,8.298755187,0.0,3.8625000000833336,Grid,3.8625000000833336
12.4,81.8,CLOSED,ON,03:10:00,17.22,8.298755187,0.0,3.8041666665,Grid,3.8041666665
12.4,78.2,CLOSED,ON,03:15:00,17.22,8.298755187,0.0,3.737499999833333,Grid,3.737499999833333
12.3,76.8,CLOSED,ON,03:16:00,17.22,8.130081301,0.0,3.8055555556666665,Grid,3.8055555556666665
12.3,75.8,CLOSED,ON,03:17:00,17.22,8.130081301,0.0,3.7069444445,Grid,3.7069444445
12.2,78.7,CLOSED,ON,03:22:00,16.11,10.23017903,0.0,3.7749999999166666,Grid,3.7749999999166666
12.3,79.6,CLOSED,ON,03:23:00,16.11,10.49868766,0.0,3.858333333083333,Grid,3.858333333083333
